10.3.36.116,10.3.199.158,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=98.50%, eSim(10)=100.00%
10.0.8.116,10.0.25.131,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=94.45%, eSim(10)=100.00%
10.0.8.132,10.0.53.31,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=99.75%, eSim(10)=100.00%
10.0.111.89,10.4.75.21,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.90%, eSim(10)=100.00%
10.0.0.91,10.0.101.180,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=98.00%, eSim(10)=100.00%
10.0.0.181,10.0.1.159,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=75.24%, eSim(10)=100.00%
10.0.32.144,10.3.222.170,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.0.91,10.5.64.145,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=99.10%, eSim(10)=100.00%
10.3.78.124,10.5.82.142,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.1.164,10.0.25.58,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.75%, eSim(10)=99.95%
10.0.0.91,10.0.4.255,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.0.0.91,10.0.4.255,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.0.0.91,10.0.4.255,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.0.0.29,10.0.34.55,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=92.05%, eSim(10)=100.00%
10.0.1.47,10.0.3.74,,,, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%, eSim(0.0001)=99.25%, eSim(10)=100.00%
10.0.1.47,10.0.3.74,,,, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%, eSim(0.0001)=99.25%, eSim(10)=100.00%
10.0.0.34,10.1.69.22,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.1.93.62,10.5.82.172,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.1.139.46,10.2.43.25,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=98.50%, eSim(10)=100.00%
10.3.1.146,10.4.20.183,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.75%, eSim(10)=100.00%
10.0.54.58,10.4.93.9,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.85%, eSim(10)=100.00%
10.0.53.2,10.1.32.244,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=88.24%, eSim(10)=100.00%
10.0.53.2,10.1.32.244,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=89.09%, eSim(10)=100.00%
10.0.53.2,10.1.32.244,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=90.70%, eSim(10)=100.00%
10.0.53.2,10.1.32.244,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=90.85%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=94.65%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=93.85%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=91.15%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=91.95%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=94.50%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=92.10%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=92.15%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=92.40%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=93.70%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=93.60%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=95.75%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=91.55%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=91.05%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=91.65%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=92.15%, eSim(10)=100.00%
10.0.0.29,10.2.60.10,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=90.80%, eSim(10)=100.00%
10.0.0.102,10.0.15.185,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.60%, eSim(10)=100.00%
10.0.1.164,10.0.25.58,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.80%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.45%, eSim(>=0.1)=0.55%, eSim(0.0001)=98.95%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.70%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%, eSim(0.0001)=99.50%, eSim(10)=100.00%
10.3.78.124,10.4.95.223,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=99.15%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=99.60%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.95%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=99.90%, eSim(10)=100.00%
10.0.2.86,10.0.20.217,,,, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%, eSim(0.0001)=99.95%, eSim(10)=100.00%
10.0.40.42,10.0.102.96,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=98.05%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=99.85%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.5.246,10.3.235.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.10.62,10.0.67.96,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=99.40%, eSim(10)=100.00%
10.0.10.62,10.0.67.96,,,, eSim(0.1)=100.00%, eSim(>=0.1)=0.00%, eSim(0.0001)=100.00%, eSim(10)=100.00%
10.0.15.6,10.0.28.185,,,, eSim(0.1)=99.65%, eSim(>=0.1)=0.35%, eSim(0.0001)=97.55%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=96.40%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=96.80%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%, eSim(0.0001)=97.15%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=97.25%, eSim(10)=100.00%
10.0.0.19,10.0.0.20,,,, eSim(0.1)=99.85%, eSim(>=0.1)=0.15%, eSim(0.0001)=97.25%, eSim(10)=100.00%
10.0.1.112,10.1.178.166,,,, eSim(0.1)=99.80%, eSim(>=0.1)=0.20%, eSim(0.0001)=99.55%, eSim(10)=100.00%
10.0.231.225,10.3.239.17,,,, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%, eSim(0.0001)=98.85%, eSim(10)=100.00%
