10.1.121.4,10.1.212.239,,,1854,4000,,, eSim(0.01)=97.68%, eSim(0.2)=99.46%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.23.13,10.2.255.181,,,80,1827,,, eSim(0.01)=56.00%, eSim(0.2)=88.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.8.37,10.0.251.190,,,119,1046,,, eSim(0.01)=66.07%, eSim(0.2)=93.75%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.27,10.0.5.160,,,7070,1147,,, eSim(0.01)=52.73%, eSim(0.2)=78.18%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.3.40.188,10.3.129.93,,,10768,1120,,, eSim(0.01)=99.95%, eSim(0.2)=99.95%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.3.40.188,10.3.129.93,,,10768,1120,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.10.235,10.1.232.10,,,80,2350,,, eSim(0.01)=33.33%, eSim(0.2)=33.33%, eSim(2.5)=66.67%, eSim(>=2.5)=33.33%
10.2.40.176,10.3.126.174,,,10073,1062,,, eSim(0.01)=97.71%, eSim(0.2)=99.43%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.3.78.124,10.4.95.223,,,6699,3051,,, eSim(0.01)=50.00%, eSim(0.2)=50.00%, eSim(2.5)=50.00%, eSim(>=2.5)=50.00%
10.3.78.124,10.4.95.223,,,6699,3051,,, eSim(0.01)=62.96%, eSim(0.2)=66.67%, eSim(2.5)=96.30%, eSim(>=2.5)=3.70%
10.3.78.124,10.4.95.223,,,6699,3055,,, eSim(0.01)=53.85%, eSim(0.2)=61.54%, eSim(2.5)=92.31%, eSim(>=2.5)=7.69%
10.0.0.34,10.1.69.22,,,20,1443,,, eSim(0.01)=17.14%, eSim(0.2)=80.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.5.64,10.0.8.218,,,9088,25,,, eSim(0.01)=21.95%, eSim(0.2)=70.73%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.13.62,10.0.16.98,,,23840,25,,, eSim(0.01)=60.71%, eSim(0.2)=64.29%, eSim(2.5)=92.86%, eSim(>=2.5)=7.14%
10.0.251.57,10.4.168.99,,,6699,1169,,, eSim(0.01)=88.30%, eSim(0.2)=97.37%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.1.112,10.1.178.166,,,25,4418,,, eSim(0.01)=99.75%, eSim(0.2)=99.85%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.2.1.27,10.4.34.167,,,1494,1029,,, eSim(0.01)=88.53%, eSim(0.2)=99.63%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.1.47,10.0.3.74,,,7070,3529,,, eSim(0.01)=57.89%, eSim(0.2)=89.47%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.54.58,10.4.93.9,,,1203,6700,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.8.218,10.0.19.166,,,2848,25,,, eSim(0.01)=10.00%, eSim(0.2)=30.00%, eSim(2.5)=90.00%, eSim(>=2.5)=10.00%
10.0.0.42,10.0.28.101,,,25,4956,,, eSim(0.01)=99.95%, eSim(0.2)=99.95%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.236.113,10.2.86.7,,,1159,80,,, eSim(0.01)=99.95%, eSim(0.2)=99.95%, eSim(2.5)=99.95%, eSim(>=2.5)=0.05%
10.0.12.233,10.2.22.54,,,80,2677,,, eSim(0.01)=46.67%, eSim(0.2)=70.00%, eSim(2.5)=90.00%, eSim(>=2.5)=10.00%
10.0.12.233,10.2.22.54,,,80,2677,,, eSim(0.01)=0.00%, eSim(0.2)=66.67%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.14.27,10.0.123.35,,,46811,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.14.27,10.0.123.35,,,46811,80,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.0.27,10.0.5.160,,,7070,1147,,, eSim(0.01)=40.00%, eSim(0.2)=50.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
10.0.39.133,10.2.181.26,,,1227,38101,,, eSim(0.01)=100.00%, eSim(0.2)=100.00%, eSim(2.5)=100.00%, eSim(>=2.5)=0.00%
