10.0.8.132,10.0.53.31,,,, eSim(0.005)=78.04%, eSim(0.008)=85.54%, eSim(0.01)=88.49%, eSim(0.02)=94.05%, eSim(0.03)=96.05%, eSim(0.1)=98.70%, eSim(>=0.1)=1.30%
10.0.147.228,10.4.90.240,,,, eSim(0.005)=73.69%, eSim(0.008)=86.49%, eSim(0.01)=89.39%, eSim(0.02)=95.65%, eSim(0.03)=97.55%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.0.29,10.2.204.55,,,, eSim(0.005)=87.29%, eSim(0.008)=89.39%, eSim(0.01)=90.45%, eSim(0.02)=94.00%, eSim(0.03)=95.75%, eSim(0.1)=98.75%, eSim(>=0.1)=1.25%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=94.00%, eSim(0.008)=96.30%, eSim(0.01)=96.85%, eSim(0.02)=98.45%, eSim(0.03)=98.95%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=92.95%, eSim(0.008)=96.05%, eSim(0.01)=96.85%, eSim(0.02)=98.10%, eSim(0.03)=98.80%, eSim(0.1)=99.70%, eSim(>=0.1)=0.30%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=92.00%, eSim(0.008)=94.50%, eSim(0.01)=95.15%, eSim(0.02)=97.35%, eSim(0.03)=98.25%, eSim(0.1)=99.40%, eSim(>=0.1)=0.60%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=93.45%, eSim(0.008)=96.30%, eSim(0.01)=97.35%, eSim(0.02)=98.60%, eSim(0.03)=98.95%, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=93.60%, eSim(0.008)=96.10%, eSim(0.01)=96.95%, eSim(0.02)=98.40%, eSim(0.03)=98.95%, eSim(0.1)=99.55%, eSim(>=0.1)=0.45%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=93.40%, eSim(0.008)=95.90%, eSim(0.01)=96.70%, eSim(0.02)=98.10%, eSim(0.03)=98.70%, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%
10.0.0.108,10.2.108.55,,,, eSim(0.005)=93.90%, eSim(0.008)=96.10%, eSim(0.01)=96.70%, eSim(0.02)=98.10%, eSim(0.03)=98.40%, eSim(0.1)=99.50%, eSim(>=0.1)=0.50%
10.0.11.86,10.2.82.23,,,, eSim(0.005)=77.74%, eSim(0.008)=86.64%, eSim(0.01)=89.29%, eSim(0.02)=94.45%, eSim(0.03)=96.20%, eSim(0.1)=98.90%, eSim(>=0.1)=1.10%
10.0.1.0,10.0.1.1,,,, eSim(0.005)=86.24%, eSim(0.008)=90.35%, eSim(0.01)=91.75%, eSim(0.02)=95.00%, eSim(0.03)=96.00%, eSim(0.1)=98.70%, eSim(>=0.1)=1.30%
10.0.36.186,10.4.202.60,,,, eSim(0.005)=79.94%, eSim(0.008)=87.64%, eSim(0.01)=90.10%, eSim(0.02)=95.50%, eSim(0.03)=97.05%, eSim(0.1)=99.35%, eSim(>=0.1)=0.65%
10.0.53.2,10.1.32.244,,,, eSim(0.005)=96.55%, eSim(0.008)=97.80%, eSim(0.01)=98.50%, eSim(0.02)=99.40%, eSim(0.03)=99.55%, eSim(0.1)=99.90%, eSim(>=0.1)=0.10%
10.0.53.2,10.1.32.244,,,, eSim(0.005)=95.10%, eSim(0.008)=97.25%, eSim(0.01)=97.90%, eSim(0.02)=98.80%, eSim(0.03)=99.05%, eSim(0.1)=99.60%, eSim(>=0.1)=0.40%
10.0.53.2,10.1.32.244,,,, eSim(0.005)=95.20%, eSim(0.008)=96.75%, eSim(0.01)=97.40%, eSim(0.02)=98.75%, eSim(0.03)=99.25%, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%
10.0.53.2,10.1.32.244,,,, eSim(0.005)=96.60%, eSim(0.008)=97.85%, eSim(0.01)=98.45%, eSim(0.02)=99.30%, eSim(0.03)=99.50%, eSim(0.1)=99.95%, eSim(>=0.1)=0.05%
10.0.41.57,10.2.202.63,,,, eSim(0.005)=84.09%, eSim(0.008)=89.29%, eSim(0.01)=91.20%, eSim(0.02)=95.60%, eSim(0.03)=97.75%, eSim(0.1)=99.75%, eSim(>=0.1)=0.25%
