ip.proto,ipv6.nxt,frame.number,frame.time_relative,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,tcp.seq,mqtt.topic,mqtt.msgtype,mqtt.clientid,mqtt.disconnect.reason_code
"6",,"91","0.777010255","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"63184",,,,
"6",,"92","0.777082668","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"64592",,,,
"6",,"93","0.777111535","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"94","0.777143827","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"66000",,,,
"6",,"95","0.777190309","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"67408",,,,
"6",,"96","0.777314096","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"97","0.785950809","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"68816",,,,
"6",,"98","0.785987504","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"70224",,,,
"6",,"99","0.786015883","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"100","0.786046707","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"71632",,,,
"6",,"101","0.786173430","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"73040",,,,
"6",,"102","0.786342230","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"103","0.789067502","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"74448",,,,
"6",,"104","0.789138447","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"75856",,,,
"6",,"105","0.789166825","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"106","0.789224070","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"77264",,,,
"6",,"107","0.789329754","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"78672",,,,
"6",,"108","0.789375746","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"109","0.789432013","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"80080",,,,
"6",,"110","0.789442777","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"111","0.789539654","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"81488",,,,
"6",,"112","0.789549928","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"113","0.799077615","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"82896",,,,
"6",,"114","0.799152963","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"115","0.799209719","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"84304",,,,
"6",,"116","0.799221951","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"117","0.799231737","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"85712",,,,
"6",,"118","0.799252286","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"119","0.799259136","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"87120",,,,
"6",,"120","0.799279197","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"121","0.799286046","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"88528",,,,
"6",,"122","0.799305617","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"123","0.799311978","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"89936",,,,
"6",,"124","0.799332038","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"125","0.799338399","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"91344",,,,
"6",,"126","0.799358949","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"127","0.799365799","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"92752",,,,
"6",,"128","0.799385859","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"129","0.799392709","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"94160",,,,
"6",,"130","0.799412280","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"131","0.799420598","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"95568",,,,
"6",,"132","0.799440169","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"133","0.814794651","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"96976",,,,
"6",,"134","0.814842111","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"135","0.814901803","1203","1203","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"98384",,,,
"6",,"136","0.814912078","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"137","2.060446965","266","266","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1122",,,,
"6",,"138","2.101588025","66","66","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"99521",,,,
"6",,"139","2.104791261","172","172","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1322",,,,
"6",,"140","2.113504631","185","185","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"99521",,,,
"6",,"141","2.113574107","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"142","2.113630373","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"99640",,,,
"6",,"143","2.113672939","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"144","2.113681746","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"101048",,,,
"6",,"145","2.113702785","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"146","2.113772750","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"102456",,,,
"6",,"147","2.113784492","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"148","2.113875496","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"103864",,,,
"6",,"149","2.113885771","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"150","2.113980199","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"105272",,,,
"6",,"151","2.113992431","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"152","2.119038739","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"106680",,,,
"6",,"153","2.119087177","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"154","2.119167417","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"108088",,,,
"6",,"155","2.119178670","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
"6",,"156","2.119186987","1474","1474","f8:8b:37:b6:8c:a7","00:22:5f:d6:0e:2d","80.228.115.12","192.168.0.206",,,"443","58752",,,"109496",,,,
"6",,"157","2.119232000","66","66","00:22:5f:d6:0e:2d","f8:8b:37:b6:8c:a7","192.168.0.206","80.228.115.12",,,"58752","443",,,"1428",,,,
